"imp_i","imp_j","m2","r"
5,28,0.006157,0.996916
5,29,0.00657,0.996709
5,30,0.005982,0.997005
5,31,0.006169,0.996911
5,32,0.006217,0.996887
5,33,0.006627,0.996681
5,34,0.013293,0.993331
5,35,0.006315,0.996838
5,36,0.006016,0.996988
5,37,0.006161,0.996915
5,38,0.006144,0.996923
5,39,0.005988,0.997001
5,40,0.013869,0.993041
5,41,0.014174,0.992888
5,42,0.013768,0.993092
5,43,0.013912,0.99302
5,44,0.006269,0.996861
5,45,0.014118,0.992916
5,46,0.013921,0.993015
5,47,0.005677,0.997158
5,48,0.014325,0.992812
5,49,0.014505,0.992721
5,50,0.005841,0.997075
5,51,0.006193,0.996899
5,52,0.014253,0.992848
5,53,0.014074,0.992938
5,54,0.006036,0.996977
5,55,0.006563,0.996713
5,56,0.006173,0.996909
5,57,0.006291,0.99685
5,58,0.014267,0.992841
5,59,0.006731,0.996629
5,60,0.014129,0.99291
5,61,0.013912,0.99302
5,62,0.015134,0.992404
5,63,0.006232,0.996879
5,64,0.014736,0.992605
5,65,0.006531,0.996729
5,66,0.006607,0.996691
5,67,0.006466,0.996762
5,68,0.006468,0.996761
5,69,0.006221,0.996885
5,70,0.005966,0.997013
5,71,0.013511,0.993222
5,72,0.006227,0.996882
5,73,0.006229,0.996881
5,74,0.005943,0.997024
5,75,0.006037,0.996977
5,76,0.006243,0.996874
5,77,0.006626,0.996681
5,78,0.006218,0.996886
5,79,0.005849,0.997071
5,80,0.005852,0.99707
5,81,0.013689,0.993132
5,82,0.006527,0.996731
5,83,0.013275,0.99334
5,84,0.006898,0.996545
5,85,0.005851,0.99707
5,86,0.006214,0.996888
5,87,0.013126,0.993415
5,88,0.013616,0.993169
5,89,0.006631,0.996679
5,90,0.00637,0.99681
5,91,0.005758,0.997117
5,92,0.006408,0.996791
5,93,0.013876,0.993038
5,94,0.00636,0.996815
5,95,0.006556,0.996717
5,96,0.006129,0.996931
5,97,0.006139,0.996926
5,98,0.006138,0.996926
5,99,0.013182,0.993387
5,100,0.013366,0.993295
6,7,0.006295,0.996848
6,8,0.006132,0.996929
6,9,0.005998,0.996996
6,10,0.006457,0.996766
6,11,0.016541,0.991695
6,12,0.014153,0.992898
6,13,0.008559,0.995711
6,14,0.005783,0.997104
6,15,0.005955,0.997018
6,16,0.015397,0.992272
6,17,0.014343,0.992803
6,18,0.006268,0.996861
6,19,0.005893,0.997049
6,20,0.005811,0.99709
6,21,0.006171,0.996909
6,22,0.00568,0.997156
6,23,0.006646,0.996671
6,24,0.006099,0.996946
6,25,0.005947,0.997022
6,26,0.006022,0.996985
6,27,0.013962,0.992994
6,28,0.006197,0.996897
6,29,0.006131,0.99693
6,30,0.005961,0.997015
6,31,0.006201,0.996895
6,32,0.006166,0.996912
6,33,0.005855,0.997068
6,34,0.013519,0.993217
6,35,0.006609,0.99669
6,36,0.005794,0.997099
6,37,0.006334,0.996828
6,38,0.006093,0.996949
6,39,0.006297,0.996846
6,40,0.014445,0.992751
6,41,0.014185,0.992882
6,42,0.013959,0.992996
6,43,0.014072,0.992939
6,44,0.006092,0.996949
6,45,0.014067,0.992942
6,46,0.013653,0.99315
6,47,0.00584,0.997076
6,48,0.014411,0.992768
6,49,0.014445,0.992751
6,50,0.006221,0.996885
6,51,0.00607,0.99696
6,52,0.014538,0.992704
6,53,0.014445,0.992751
6,54,0.005991,0.997
6,55,0.006179,0.996906
6,56,0.006033,0.996979
6,57,0.006334,0.996828
6,58,0.014427,0.99276
6,59,0.006478,0.996756
6,60,0.01463,0.992658
6,61,0.013675,0.993139
6,62,0.015019,0.992462
6,63,0.006402,0.996794
6,64,0.015,0.992472
6,65,0.006064,0.996963
6,66,0.006311,0.99684
6,67,0.00631,0.99684
6,68,0.006168,0.996911
6,69,0.006406,0.996792
6,70,0.00598,0.997006
6,71,0.013641,0.993156
6,72,0.006281,0.996854
6,73,0.006442,0.996774
6,74,0.00581,0.997091
6,75,0.006473,0.996758
6,76,0.006073,0.996959
6,77,0.006348,0.996821
6,78,0.005847,0.997072
6,79,0.00608,0.996955
6,80,0.006196,0.996897
6,81,0.0141,0.992925
6,82,0.006207,0.996892
6,83,0.013737,0.993108
6,84,0.006493,0.996748
6,85,0.005973,0.997009
6,86,0.006026,0.996982
6,87,0.013582,0.993186
6,88,0.013901,0.993025
6,89,0.006522,0.996734
6,90,0.006429,0.99678
