"Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"Acanthogobius_flavimanus" 1.18371027059751 -0.429937977239859 0.38687986070674 -2.90304046547421 -5.51784577542256 0.384147107076323 0.470183491807762 0.226221074314076 0.0096203402670096 -2.42191303592042
"Acanthogobius_lactipes" 1.18371090673605 -0.429938445256084 0.386880729579194 -2.90304895390808 -5.51787140395676 0.384149049079591 0.470186197644081 0.226222681239337 0.00962041550160132 -2.42193363454448
"Acanthogobius_luridus" 1.18371090673605 -0.429938445256084 0.386880729579191 -2.90304895390808 -5.51787140395676 0.384149049079597 0.470186197644082 0.226222681239337 0.00962041550160005 -2.42193363454447
"Acanthopagrus_berda" 1.1836956856241 -0.429927246604476 0.386859938255 -2.90284582759974 -5.51725807418015 0.384102573180548 0.470121439820689 0.226184221067108 0.00961861478104222 -2.42144059747688
"Acanthopagrus_butcheri" 1.1836956856241 -0.429927246604474 0.386859938254999 -2.90284582759974 -5.51725807418016 0.38410257318055 0.470121439820687 0.226184221067103 0.00961861478104137 -2.42144059747688
"Acanthopagrus_latus" 1.18369912043097 -0.429929773643724 0.386864629715413 -2.90289166079724 -5.51739645559622 0.384113059046382 0.470136050029976 0.226192897709495 0.00961902101308611 -2.4215518206764
"Acanthopoma_annectens" 1.18369912043097 -0.429929773643724 0.386864629715409 -2.90289166079724 -5.51739645559622 0.384113059046382 0.470136050029977 0.226192897709494 0.00961902101308528 -2.42155182067639
"Acanthopsoides_delphax" 1.1452834282425 -0.401643950066774 0.334264268254938 -2.38852077471226 -3.96073399895642 0.266092868873829 0.305547009890682 0.128284624816608 0.00503120457288244 -1.16448036317483
"Acanthopsoides_gracilentus" 1.1489273404694 -0.404244669273723 0.338774510898709 -2.430728575349 -4.07360465615687 0.274376443113412 0.316442587925419 0.133999936000176 0.00527959064580483 -1.22739554142638
"Acanthopsoides_gracilis" 1.1489273404694 -0.404244669273723 0.338774510898705 -2.430728575349 -4.07360465615686 0.274376443113415 0.316442587925412 0.133999936000172 0.0052795906458033 -1.22739554142637
"Acanthopsoides_hapalias" 1.14969881424392 -0.404795262110897 0.339729290088223 -2.43966318818129 -4.09749448508612 0.276129667598113 0.318748534097359 0.135209415155956 0.00533215171519936 -1.24070841308229
"Acanthopsoides_molobrion" 1.14969881424391 -0.404795262110893 0.339729290088225 -2.43966318818129 -4.09749448508612 0.276129667598115 0.318748534097366 0.135209415155955 0.00533215171520132 -1.24070841308229
"Acanthorhodeus_chankaensis" 1.14970735624461 -0.404801354362119 0.339739839738813 -2.43976182788135 -4.09775767930008 0.276148973169635 0.318773904213713 0.135222699920008 0.00533272853136917 -1.24085438846379
"Acantopsis_dialuzona" 1.14970735624461 -0.404801354362123 0.339739839738814 -2.43976182788135 -4.09775767930009 0.276148973169638 0.31877390421371 0.135222699920004 0.00533272853136917 -1.24085438846379
"Acantopsis_octoactinotos" 1.12693154315135 -0.388197470680774 0.30952877956407 -2.14825450488008 -3.24684558112179 0.212222323045532 0.231041732280012 0.0847204197544826 0.00300989552635187 -0.616111153514927
"Acantopsis_spectabilis" 1.12693154315135 -0.388197470680775 0.309528779564071 -2.14825450488008 -3.24684558112179 0.212222323045532 0.231041732280013 0.0847204197544825 0.00300989552635114 -0.616111153514923
"Acapoeta_tanganicae" 1.12710155040903 -0.388316210209867 0.309724510662552 -2.15002527538671 -3.25110988592031 0.212525917602122 0.231418451232631 0.0848913390552875 0.00301658939163552 -0.617603159969875
"Acarichthys_heckelii" 1.12710155040903 -0.388316210209867 0.309724510662552 -2.15002527538671 -3.25110988592031 0.212525917602122 0.231418451232632 0.084891339055286 0.00301658939163625 -0.617603159969879
"Acaronia_nassa" 1.13412681783741 -0.393254601758193 0.317977130109454 -2.22529550421611 -3.4362179281799 0.225771836718999 0.247999173451838 0.0925440500822153 0.00331908599048184 -0.685632347189249
"Acaronia_vultuosa" 1.13418538661149 -0.393295744581411 0.318045786594638 -2.22592118146017 -3.43775336617937 0.225881653693839 0.248136519692584 0.092607336072652 0.00332158535368056 -0.686193961346356
"Acentrogobius_caninus" 1.13420128645169 -0.393306913507238 0.318064423737388 -2.22609102016283 -3.43817012950043 0.225911460794416 0.248173797915117 0.0926245121176733 0.00332226367085409 -0.686346377110452
"Acentrogobius_chlorostigmatoides" 1.13421852413331 -0.393319022119725 0.318084628592878 -2.22627514366964 -3.43862193583128 0.225943774013623 0.248214210043594 0.0926431317907884 0.00332299899297491 -0.686511600230856
"Acentrogobius_janthinopterus" 1.13421852413331 -0.393319022119724 0.318084628592876 -2.22627514366964 -3.43862193583128 0.225943774013621 0.248214210043598 0.0926431317907808 0.00332299899297521 -0.686511600230858
